state_name,crop,annual_rainfall,avg_temperature,production,area,yield
CHHATTISGARH,barley,1370.3000000000002,29.23,0.1,0.1,1000.0
CHHATTISGARH,barley,1197.3000000000002,29.12,0.1,0.1,1000.0
CHHATTISGARH,barley,1254.7000000000003,29.28,0.1,0.1,1000.0
CHHATTISGARH,barley,1237.5,29.61,0.1,0.1,1000.0
CHHATTISGARH,barley,1643.9,29.14,0.1,0.1,1000.0
CHHATTISGARH,barley,1280.7,30.18,0.1,0.1,1000.0
CHHATTISGARH,barley,1600.1000000000001,29.99,0.01,0.01,1000.0
CHHATTISGARH,barley,990.3999999999997,30.23,0.01,0.01,1000.0
CHHATTISGARH,barley,1144.7,29.79,0.01,0.01,1000.0
CHHATTISGARH,barley,1287.2999999999997,29.6,0.01,0.01,1000.0
CHHATTISGARH,barley,1281.2,29.84,0.07,0.06,1166.6666666666667
CHHATTISGARH,barley,1108.6000000000001,29.64,0.06,0.06,1000.0
CHHATTISGARH,barley,1302.6,29.82,0.17,0.15,1133.3333333333335
CHHATTISGARH,barley,1216.4,29.32,0.1,0.1,1000.0
CHHATTISGARH,barley,1197.3000000000002,29.12,0.1,0.1,1000.0
CHHATTISGARH,barley,1187.2,29.18,0.4,0.4,1000.0
CHHATTISGARH,barley,1643.9,29.14,0.3,0.3,1000.0
CHHATTISGARH,barley,1205.4,29.55,0.2,0.2,1000.0
CHHATTISGARH,barley,1754.6000000000001,29.46,0.2,0.2,1000.0
CHHATTISGARH,barley,1280.7,30.18,0.2,0.2,1000.0
CHHATTISGARH,barley,1187.1,29.58,0.2,0.2,1000.0
CHHATTISGARH,barley,1281.2,29.84,0.23,0.23,1000.0
CHHATTISGARH,barley,1278.6,29.72,0.29,0.23,1260.869565217391
CHHATTISGARH,barley,1370.3000000000002,29.23,0.2,0.2,1000.0
CHHATTISGARH,barley,1495.4,29.58,0.1,0.1,1000.0
CHHATTISGARH,barley,1216.4,29.32,0.1,0.1,1000.0
CHHATTISGARH,barley,1197.3000000000002,29.12,0.1,0.1,1000.0
